Type,Time,Start-Hour2,Start-Hour3,AMPM,MAFN-Right,MAFN-Thru,MAFN-Left,MAFN-U-Turn,WSE-Right,WSE-Thru,WSE-Left,WSE-U-Turn,MAFS-Right,MAFS-Thru,MAFS-Left,MAFS-U-Turn,WSW-Right,WSW-Thru,WSW-Left,WSW-U-Turn,Int-Total
CARS,1970-01-01 07:00:00,07:00 AM,07:00,AM,14,120,14,0,14,31,6,0,26,157,5,0,2,71,21,0,481
CARS,1970-01-01 07:15:00,07:15 AM,07:15,AM,8,180,22,0,19,32,5,0,20,183,6,0,8,84,28,0,595
CARS,1970-01-01 07:30:00,07:30 AM,07:30,AM,11,179,20,0,19,32,18,0,27,177,6,0,4,86,26,0,605
CARS,1970-01-01 07:45:00,07:45 AM,07:45,AM,18,192,21,0,17,41,11,0,12,182,2,0,10,100,27,0,633
CARS,1970-01-01 08:00:00,08:00 AM,08:00,AM,10,172,18,1,29,40,16,0,18,172,6,3,5,100,11,0,601
CARS,1970-01-01 08:15:00,08:15 AM,08:15,AM,21,177,27,0,14,24,14,0,25,182,10,0,11,101,23,0,629
CARS,1970-01-01 08:30:00,08:30 AM,08:30,AM,15,144,14,0,17,39,6,0,27,184,4,0,11,74,30,0,565
CARS,1970-01-01 08:45:00,08:45 AM,08:45,AM,12,133,15,0,13,27,13,0,35,190,9,0,10,90,16,0,563
CARS,1970-01-01 09:00:00,09:00 AM,09:00,AM,12,124,15,0,16,34,10,0,25,169,8,0,7,68,15,0,503
CARS,1970-01-01 09:15:00,09:15 AM,09:15,AM,16,131,17,0,9,23,9,0,24,169,4,0,9,75,21,0,507
CARS,1970-01-01 09:30:00,09:30 AM,09:30,AM,10,157,14,1,18,19,18,0,24,183,11,0,7,65,22,0,549
CARS,1970-01-01 09:45:00,09:45 AM,09:45,AM,13,161,26,0,21,30,10,0,29,148,7,0,10,75,15,0,545
CARS,1970-01-01 10:00:00,10:00 AM,10:00,AM,16,146,12,0,13,31,11,0,25,182,6,0,6,56,14,0,518
CARS,1970-01-01 10:15:00,10:15 AM,10:15,AM,6,158,14,0,18,28,15,0,24,144,10,0,15,47,11,0,490
CARS,1970-01-01 10:30:00,10:30 AM,10:30,AM,5,160,13,0,14,35,7,0,28,141,4,1,11,64,20,0,503
CARS,1970-01-01 10:45:00,10:45 AM,10:45,AM,13,134,21,0,16,39,16,0,26,144,7,0,10,58,15,0,499
CARS,1970-01-01 11:00:00,11:00 AM,11:00,AM,12,136,14,0,9,29,9,0,32,157,6,0,10,43,12,1,470
CARS,1970-01-01 11:15:00,11:15 AM,11:15,AM,14,121,13,0,15,39,15,0,30,163,8,0,14,48,16,0,496
CARS,1970-01-01 11:30:00,11:30 AM,11:30,AM,9,103,22,0,19,41,15,0,28,144,7,0,11,56,12,0,467
CARS,1970-01-01 11:45:00,11:45 AM,11:45,AM,10,177,22,0,13,42,21,0,26,160,9,1,18,51,13,0,563
CARS,1970-01-01 12:00:00,12:00 PM,12:00,PM,13,136,19,0,18,37,13,0,33,148,8,0,11,51,17,0,504
CARS,1970-01-01 12:15:00,12:15 PM,12:15,PM,11,152,27,0,17,36,14,0,37,140,14,0,11,53,30,0,542
CARS,1970-01-01 12:30:00,12:30 PM,12:30,PM,20,153,20,0,31,30,23,0,23,145,10,0,15,67,25,0,562
CARS,1970-01-01 12:45:00,12:45 PM,12:45,PM,11,162,11,0,18,36,18,0,38,134,13,0,8,54,15,0,518
CARS,1970-01-01 13:00:00,01:00 PM,01:00,PM,17,157,21,1,21,38,9,0,30,165,9,0,9,50,21,0,548
CARS,1970-01-01 13:15:00,01:15 PM,01:15,PM,8,173,24,0,18,28,25,0,28,135,8,0,13,45,21,0,526
CARS,1970-01-01 13:30:00,01:30 PM,01:30,PM,15,161,17,0,15,31,17,0,34,138,6,0,14,56,16,0,520
CARS,1970-01-01 13:45:00,01:45 PM,01:45,PM,18,154,28,0,8,43,17,0,20,139,10,0,11,59,19,0,526
CARS,1970-01-01 14:00:00,02:00 PM,02:00,PM,9,164,16,0,11,35,11,0,26,156,11,0,14,74,14,0,541
CARS,1970-01-01 14:15:00,02:15 PM,02:15,PM,9,172,22,0,16,40,20,0,21,132,12,0,19,78,16,0,557
CARS,1970-01-01 14:30:00,02:30 PM,02:30,PM,13,209,16,0,16,49,18,0,24,144,6,0,15,61,19,0,590
CARS,1970-01-01 14:45:00,02:45 PM,02:45,PM,10,207,17,0,11,44,20,0,30,148,10,0,14,63,16,0,590
CARS,1970-01-01 15:00:00,03:00 PM,03:00,PM,12,217,11,0,16,65,18,0,16,145,11,0,14,70,17,0,612
CARS,1970-01-01 15:15:00,03:15 PM,03:15,PM,12,191,18,0,18,48,17,0,23,110,11,0,10,67,17,0,542
CARS,1970-01-01 15:30:00,03:30 PM,03:30,PM,15,201,13,1,15,70,16,0,17,158,9,0,14,74,25,0,628
CARS,1970-01-01 15:45:00,03:45 PM,03:45,PM,18,201,19,0,19,48,12,0,18,148,12,0,8,68,23,0,594
CARS,1970-01-01 16:00:00,04:00 PM,04:00,PM,14,189,21,0,25,57,14,0,23,134,8,0,9,59,25,0,578
CARS,1970-01-01 16:15:00,04:15 PM,04:15,PM,21,184,19,0,23,63,18,0,21,160,6,0,7,72,25,0,619
CARS,1970-01-01 16:30:00,04:30 PM,04:30,PM,12,234,21,0,13,48,9,0,15,161,8,0,12,75,26,0,634
CARS,1970-01-01 16:45:00,04:45 PM,04:45,PM,11,179,16,0,21,49,13,0,20,164,15,0,13,80,17,0,598
HV,1970-01-01 07:00:00,07:00 AM,07:00,AM,0,15,1,0,0,9,1,0,3,25,0,0,1,8,2,0,65
HV,1970-01-01 07:15:00,07:15 AM,07:15,AM,3,11,1,0,4,8,0,0,2,30,0,0,0,9,1,0,69
HV,1970-01-01 07:30:00,07:30 AM,07:30,AM,3,9,0,0,3,8,1,0,2,14,1,0,0,8,4,0,53
HV,1970-01-01 07:45:00,07:45 AM,07:45,AM,3,19,0,0,3,7,0,0,0,14,1,0,1,7,1,0,56
HV,1970-01-01 08:00:00,08:00 AM,08:00,AM,2,15,2,0,4,4,1,0,4,20,0,0,2,13,4,0,71
HV,1970-01-01 08:15:00,08:15 AM,08:15,AM,2,15,0,0,4,16,2,0,1,28,0,0,2,10,1,0,81
HV,1970-01-01 08:30:00,08:30 AM,08:30,AM,2,20,1,0,7,9,1,0,1,24,0,0,0,9,3,0,77
HV,1970-01-01 08:45:00,08:45 AM,08:45,AM,4,15,2,0,3,3,0,0,1,18,1,0,1,10,1,0,59
HV,1970-01-01 09:00:00,09:00 AM,09:00,AM,2,11,0,0,4,6,1,0,1,18,0,0,1,11,3,0,58
HV,1970-01-01 09:15:00,09:15 AM,09:15,AM,5,18,0,0,4,10,2,0,5,21,0,0,0,10,2,0,77
HV,1970-01-01 09:30:00,09:30 AM,09:30,AM,4,25,0,0,2,9,1,0,0,15,1,0,0,8,1,0,66
HV,1970-01-01 09:45:00,09:45 AM,09:45,AM,6,20,2,0,2,9,0,0,2,17,1,0,0,9,0,0,68
HV,1970-01-01 10:00:00,10:00 AM,10:00,AM,4,16,0,0,4,7,4,0,1,21,0,0,0,8,1,0,66
HV,1970-01-01 10:15:00,10:15 AM,10:15,AM,1,19,2,0,1,5,1,0,2,25,0,0,0,7,1,0,64
HV,1970-01-01 10:30:00,10:30 AM,10:30,AM,1,12,1,0,4,4,0,0,0,18,0,0,0,7,0,0,47
HV,1970-01-01 10:45:00,10:45 AM,10:45,AM,3,14,2,0,1,6,1,0,1,14,0,0,3,8,1,0,54
HV,1970-01-01 11:00:00,11:00 AM,11:00,AM,0,20,2,0,2,5,1,0,2,15,0,0,0,4,1,0,52
HV,1970-01-01 11:15:00,11:15 AM,11:15,AM,2,25,0,0,2,5,2,0,3,16,0,0,0,8,1,0,64
HV,1970-01-01 11:30:00,11:30 AM,11:30,AM,2,21,1,0,2,4,1,0,1,15,0,0,1,5,1,0,54
HV,1970-01-01 11:45:00,11:45 AM,11:45,AM,2,22,1,0,3,7,1,0,2,17,1,0,0,5,1,0,62
HV,1970-01-01 12:00:00,12:00 PM,12:00,PM,1,19,1,0,3,5,1,0,1,11,0,0,0,7,1,0,50
HV,1970-01-01 12:15:00,12:15 PM,12:15,PM,1,25,0,0,3,7,0,0,1,11,1,0,1,6,2,0,58
HV,1970-01-01 12:30:00,12:30 PM,12:30,PM,2,8,0,0,0,6,1,0,0,13,0,0,2,1,4,0,37
HV,1970-01-01 12:45:00,12:45 PM,12:45,PM,0,20,1,0,2,4,2,0,2,14,1,0,1,8,0,0,55
HV,1970-01-01 13:00:00,01:00 PM,01:00,PM,2,19,2,0,1,6,1,0,2,13,0,0,0,10,2,0,58
HV,1970-01-01 13:15:00,01:15 PM,01:15,PM,1,16,1,0,4,5,1,0,3,14,0,0,1,21,0,0,67
HV,1970-01-01 13:30:00,01:30 PM,01:30,PM,4,16,1,0,2,10,2,0,0,14,1,0,2,12,3,0,67
HV,1970-01-01 13:45:00,01:45 PM,01:45,PM,1,27,0,0,1,14,3,0,2,13,0,0,0,5,3,0,69
HV,1970-01-01 14:00:00,02:00 PM,02:00,PM,1,18,0,0,0,6,1,0,1,9,1,0,3,14,1,0,55
HV,1970-01-01 14:15:00,02:15 PM,02:15,PM,2,11,1,0,1,5,2,0,2,8,0,0,1,8,3,0,44
HV,1970-01-01 14:30:00,02:30 PM,02:30,PM,1,21,0,0,1,3,3,0,3,13,0,0,1,5,2,0,53
HV,1970-01-01 14:45:00,02:45 PM,02:45,PM,4,14,0,0,2,7,1,0,1,7,0,0,0,10,4,0,50
HV,1970-01-01 15:00:00,03:00 PM,03:00,PM,0,22,1,0,4,4,2,0,0,10,0,0,1,9,2,0,55
HV,1970-01-01 15:15:00,03:15 PM,03:15,PM,4,14,1,0,4,11,2,0,0,7,0,0,0,15,1,0,59
HV,1970-01-01 15:30:00,03:30 PM,03:30,PM,3,12,0,0,2,9,2,0,2,10,1,0,0,5,1,0,47
HV,1970-01-01 15:45:00,03:45 PM,03:45,PM,6,13,3,0,2,10,1,0,2,7,1,0,1,10,1,0,57
HV,1970-01-01 16:00:00,04:00 PM,04:00,PM,3,11,0,0,3,16,1,0,1,8,0,0,1,7,1,0,52
HV,1970-01-01 16:15:00,04:15 PM,04:15,PM,3,8,3,0,3,9,1,0,0,6,0,0,1,8,3,0,45
HV,1970-01-01 16:30:00,04:30 PM,04:30,PM,3,9,2,0,1,8,0,0,0,7,1,0,2,6,0,0,39
HV,1970-01-01 16:45:00,04:45 PM,04:45,PM,1,16,0,0,3,9,1,0,0,5,1,0,1,10,3,0,50
HV,1970-01-01 17:00:00,05:00 PM,05:00,PM,3,8,0,0,2,6,0,0,1,7,0,0,0,7,0,0,34
HV,1970-01-01 17:15:00,05:15 PM,05:15,PM,1,8,1,0,2,9,0,0,0,7,0,0,0,6,0,0,34
HV,1970-01-01 17:30:00,05:30 PM,05:30,PM,0,13,1,0,1,6,2,0,0,5,0,0,0,7,1,0,36
HV,1970-01-01 17:45:00,05:45 PM,05:45,PM,2,8,0,0,1,4,0,0,0,7,0,0,0,10,0,0,32
PAB,1970-01-01 07:00:00,07:00 AM,07:00,AM,0,2,0,20,0,1,0,16,0,4,0,8,0,0,0,12,63
PAB,1970-01-01 07:15:00,07:15 AM,07:15,AM,0,4,1,17,0,1,0,22,0,8,0,16,0,1,0,19,89
PAB,1970-01-01 07:30:00,07:30 AM,07:30,AM,0,7,0,22,0,2,0,25,1,3,0,11,0,3,1,19,94
PAB,1970-01-01 07:45:00,07:45 AM,07:45,AM,0,7,1,19,0,3,1,29,0,9,0,17,0,4,2,35,127
PAB,1970-01-01 08:00:00,08:00 AM,08:00,AM,0,2,1,20,1,0,0,48,1,5,0,27,0,3,0,27,135
PAB,1970-01-01 08:15:00,08:15 AM,08:15,AM,0,3,3,34,0,1,1,41,2,13,0,26,0,6,2,59,191
PAB,1970-01-01 08:30:00,08:30 AM,08:30,AM,0,4,0,27,1,0,0,59,1,11,0,22,0,13,0,36,174
PAB,1970-01-01 08:45:00,08:45 AM,08:45,AM,0,13,5,31,0,0,1,59,0,5,0,25,0,9,1,38,187
